created_at,entry_id,field1,latitude,longitude,elevation,status
2018-12-18 12:13:41 UTC,1,247.106091976,,,,
2018-12-18 12:42:51 UTC,2,234.090065002,,,,
2018-12-18 13:09:26 UTC,3,221.313879013,,,,
2018-12-18 13:37:05 UTC,4,218.060045004,,,,
2018-12-18 14:03:57 UTC,5,213.829797029,,,,
2018-12-18 14:56:44 UTC,6,222.390021086,,,,
2018-12-18 15:50:11 UTC,7,222.100035906,,,,
2018-12-18 16:15:19 UTC,8,217.359992027,,,,
2018-12-18 16:42:25 UTC,9,218.270206213,,,,
2018-12-18 17:07:56 UTC,10,221.680118084,,,,
2018-12-18 17:33:40 UTC,11,218.180075169,,,,
2018-12-18 17:59:23 UTC,12,221.260026932,,,,
2018-12-18 18:23:44 UTC,13,218.593462944,,,,
2018-12-18 18:50:32 UTC,14,285.610056162,,,,
2018-12-18 19:03:49 UTC,15,530.600049973,,,,
2018-12-18 19:13:55 UTC,16,216.000038862,,,,
2018-12-18 19:44:32 UTC,17,200.934986115,,,,
2018-12-18 20:38:39 UTC,18,185.552608967,,,,
2018-12-18 21:38:37 UTC,19,215.440034151,,,,
2018-12-18 22:25:21 UTC,20,214.077617884,,,,
2018-12-18 23:06:27 UTC,21,209.887772083,,,,
2018-12-18 23:47:32 UTC,22,219.966001034,,,,
2018-12-19 00:29:06 UTC,23,218.092278004,,,,
2018-12-19 01:10:15 UTC,24,221.77019906,,,,
2018-12-19 01:48:06 UTC,25,217.955410004,,,,
2018-12-19 03:49:00 UTC,26,221.349138021,,,,
2018-12-19 05:29:16 UTC,27,215.664026976,,,,
2018-12-19 06:18:14 UTC,28,215.400017977,,,,
2018-12-19 07:31:11 UTC,29,222.660047054,,,,
2018-12-19 08:20:59 UTC,30,211.890189886,,,,
2018-12-19 09:11:51 UTC,31,213.969348907,,,,
2018-12-19 09:37:11 UTC,32,217.599982977,,,,
2018-12-19 11:24:22 UTC,33,221.779999018,,,,
2018-12-19 11:51:14 UTC,34,221.061161041,,,,
2018-12-19 12:30:03 UTC,35,225.990041018,,,,
2018-12-19 13:03:02 UTC,36,202.800026894,,,,
2018-12-19 13:30:55 UTC,37,206.373810053,,,,
2018-12-19 13:59:55 UTC,38,210.855414867,,,,
2018-12-19 15:23:02 UTC,39,214.500000954,,,,
2018-12-19 15:51:39 UTC,40,224.640038013,,,,
2018-12-19 16:20:08 UTC,41,214.630046844,,,,
2018-12-19 17:14:16 UTC,42,209.559998035,,,,
2018-12-19 17:39:34 UTC,43,211.951650143,,,,
2018-12-19 18:34:13 UTC,44,222.330001116,,,,
2018-12-19 18:58:39 UTC,45,216.520021915,,,,
2018-12-19 19:26:54 UTC,46,216.069952965,,,,
2018-12-19 19:53:09 UTC,47,213.133498907,,,,
2018-12-19 21:54:48 UTC,48,221.644306898,,,,
2018-12-20 00:15:52 UTC,49,228.189459085,,,,
2018-12-20 02:27:57 UTC,50,226.629984856,,,,
2018-12-20 03:11:56 UTC,51,219.190013885,,,,
2018-12-20 03:56:44 UTC,52,381.176067114,,,,
2018-12-20 05:16:43 UTC,53,215.893826962,,,,
2018-12-20 05:42:55 UTC,54,212.9800179,,,,
2018-12-20 06:09:01 UTC,55,216.630021095,,,,
2018-12-20 06:37:22 UTC,56,212.160027981,,,,
2018-12-20 07:04:16 UTC,57,219.113806963,,,,
2018-12-20 07:31:00 UTC,58,217.009989023,,,,
2018-12-20 07:58:41 UTC,59,211.899996996,,,,
2018-12-20 08:54:28 UTC,60,214.240029097,,,,
2018-12-20 09:51:22 UTC,61,210.600028992,,,,
2018-12-20 11:49:03 UTC,62,215.309983969,,,,
2018-12-20 12:17:22 UTC,63,208.780008078,,,,
2018-12-20 12:47:29 UTC,64,223.729924202,,,,
2018-12-20 13:47:21 UTC,65,215.54002285,,,,
2018-12-20 14:17:40 UTC,66,217.770007133,,,,
2018-12-20 14:47:41 UTC,67,219.470044851,,,,
2018-12-20 15:17:49 UTC,68,227.449943066,,,,
2018-12-20 15:48:05 UTC,69,219.590004921,,,,
2018-12-20 16:18:04 UTC,70,220.150064945,,,,
2018-12-20 16:45:09 UTC,71,220.910007,,,,
2018-12-20 17:13:00 UTC,72,228.928637981,,,,
2018-12-20 17:37:01 UTC,73,222.820008039,,,,
2018-12-20 18:04:53 UTC,74,218.197954178,,,,
2018-12-20 18:33:28 UTC,75,233.560010195,,,,
2018-12-20 19:57:30 UTC,76,230.170059919,,,,
2018-12-20 20:39:41 UTC,77,338.669994116,,,,
2018-12-20 22:16:46 UTC,78,210.460004091,,,,
2018-12-20 23:03:20 UTC,79,213.229943037,,,,
2018-12-20 23:49:42 UTC,80,216.559855938,,,,
2018-12-21 00:35:17 UTC,81,219.221090078,,,,
2018-12-21 02:06:45 UTC,82,219.602752924,,,,
2018-12-21 02:52:00 UTC,83,214.500005007,,,,
2018-12-21 04:17:38 UTC,84,378.482949018,,,,
2018-12-21 04:40:10 UTC,85,272.604061127,,,,
2018-12-21 05:03:53 UTC,86,224.955297947,,,,
2018-12-21 05:28:25 UTC,87,214.178972006,,,,
2018-12-21 05:54:45 UTC,88,215.279999018,,,,
2018-12-21 06:45:21 UTC,89,212.940003872,,,,
2018-12-21 07:38:43 UTC,90,223.600006104,,,,
2018-12-21 08:30:31 UTC,91,221.637533903,,,,
2018-12-21 10:22:52 UTC,92,219.269969225,,,,
2018-12-21 10:51:53 UTC,93,218.920003891,,,,
2018-12-21 12:20:09 UTC,94,217.36000514,,,,
